#{"t_start": 1733228591.324188, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.125426
-500.0,500,0.226379
-500.0,500,0.323224
-500.0,500,0.418573
-500.0,500,0.846822
-500.0,500,0.949853
-500.0,500,1.049508
-500.0,500,1.150253
-500.0,500,1.575486
-500.0,500,1.682068
-500.0,500,1.790575
-500.0,500,1.887603
-500.0,500,2.311319
-500.0,500,2.415457
-500.0,500,2.513631
-500.0,500,2.628521
-500.0,500,3.046027
-500.0,500,3.146769
-500.0,500,3.245486
-500.0,500,3.341742
-500.0,500,3.757063
-500.0,500,3.857967
-500.0,500,3.956037
-500.0,500,4.052617
-500.0,500,4.467922
-500.0,500,4.569439
-500.0,500,4.668572
-500.0,500,4.765419
-500.0,500,5.177816
-500.0,500,5.279044
-500.0,500,5.37838
-500.0,500,5.475107
-500.0,500,5.887599
-500.0,500,5.988619
-500.0,500,6.088742
-500.0,500,6.185055
-500.0,500,6.59593
-500.0,500,6.696997
-500.0,500,6.7989
-500.0,500,6.898826
-500.0,500,7.309907
-500.0,500,7.414154
-500.0,500,7.514555
-500.0,500,7.611609
-500.0,500,7.710585
-500.0,500,8.207881
-500.0,500,8.308984
-500.0,500,8.410943
-500.0,500,8.524631
-500.0,500,8.974205
-500.0,500,9.074989
-500.0,500,9.174181
-500.0,500,9.273112
-500.0,500,9.698615
-500.0,500,9.79827
-500.0,500,9.896768
-500.0,500,9.99337
-500.0,500,10.420585
-500.0,500,10.521281
-500.0,500,10.61923
-500.0,500,10.715388
-500.0,500,11.137972
-500.0,500,11.238149
-500.0,500,11.33599
-500.0,500,11.432738
-500.0,500,11.848712
-500.0,500,11.949188
-500.0,500,12.049226
-500.0,500,12.145746
-500.0,500,12.565116
-500.0,500,12.666228
-500.0,500,12.765726
-500.0,500,12.86248
-500.0,500,13.276352
-500.0,500,13.378318
-500.0,500,13.477759
-500.0,500,13.577629
-500.0,500,14.003817
-500.0,500,14.10476
-500.0,500,14.204552
-500.0,500,14.301304
-500.0,500,14.724839
-500.0,500,14.824861
-500.0,500,14.924376
-500.0,500,15.024829
-500.0,500,15.131743
-500.0,500,15.575528
-500.0,500,15.675651
-500.0,500,15.772623
-500.0,500,15.868571
-500.0,500,16.286449
-500.0,500,16.387437
-500.0,500,16.484415
-500.0,500,16.580247
-500.0,500,16.995992
-500.0,500,17.096616
-500.0,500,17.19374
-500.0,500,17.290325
-500.0,500,17.705816
-500.0,500,17.805884
-500.0,500,17.905063
-500.0,500,18.002466
-500.0,500,18.431667
-500.0,500,18.531953
-500.0,500,18.629988
-500.0,500,18.725819
-500.0,500,19.137888
-500.0,500,19.239256
-500.0,500,19.337871
-500.0,500,19.435238
-500.0,500,19.8549
-500.0,500,19.956658
-500.0,500,20.056964
-500.0,500,20.153725
-500.0,500,20.568105
-500.0,500,20.669239
-500.0,500,20.768343
-500.0,500,20.86514
-500.0,500,21.278424
-500.0,500,21.378371
-500.0,500,21.478091
-500.0,500,21.575036
-500.0,500,21.986602
-500.0,500,22.087482
-500.0,500,22.188521
-500.0,500,22.287843
-500.0,500,22.702481
-500.0,500,22.803513
-500.0,500,22.903897
-500.0,500,22.999724
-500.0,500,23.095968
-500.0,500,23.50867
-500.0,500,23.609456
-500.0,500,23.706684
-500.0,500,23.803354
-500.0,500,24.215941
-500.0,500,24.316236
-500.0,500,24.413646
-500.0,500,24.509884
-500.0,500,24.922007
-500.0,500,25.022001
-500.0,500,25.119459
-500.0,500,25.215237
-500.0,500,25.627401
-500.0,500,25.728182
-500.0,500,25.825818
-500.0,500,25.922492
-500.0,500,26.333602
-500.0,500,26.433479
-500.0,500,26.531316
-500.0,500,26.62879
-500.0,500,27.041457
-500.0,500,27.141842
-500.0,500,27.241132
-500.0,500,27.337025
-500.0,500,27.749007
-500.0,500,27.85091
-500.0,500,27.95071
-500.0,500,28.047317
-500.0,500,28.459807
-500.0,500,28.560149
-500.0,500,28.659904
-500.0,500,28.756253
-500.0,500,29.165149
-500.0,500,29.26594
-500.0,500,29.366386
-500.0,500,29.462315
-500.0,500,29.873024
-500.0,500,29.97391
-500.0,500,30.076215
-500.0,500,30.172662
-500.0,500,30.268622
-500.0,500,30.683947
-500.0,500,30.784454
-500.0,500,30.881326
-500.0,500,30.976771
-500.0,500,31.388394
-500.0,500,31.48887
-500.0,500,31.585822
-500.0,500,31.681949
-500.0,500,32.095618
-500.0,500,32.197264
-500.0,500,32.294919
-500.0,500,32.391125
-500.0,500,32.806111
-500.0,500,32.906598
-500.0,500,33.00472
-500.0,500,33.099817
-500.0,500,33.51025
-500.0,500,33.609956
-500.0,500,33.708296
-500.0,500,33.805031
-500.0,500,34.218192
-500.0,500,34.318258
-500.0,500,34.41615
-500.0,500,34.512178
-500.0,500,34.929672
-500.0,500,35.030186
-500.0,500,35.128749
-500.0,500,35.224862
