#{"t_start": 1733228792.3435369, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,0.147713
-500.0,500,0.24655
-500.0,500,0.344383
-500.0,500,0.440474
-500.0,500,0.887907
-500.0,500,0.989383
-489.0,490,1.084427
-500.0,500,1.182364
-470.0,471,1.618944
-460.0,461,1.71311
-500.0,500,1.8131
-459.0,460,1.904406
-421.0,422,2.305349
-493.0,494,2.40457
-500.0,500,2.505562
-447.0,448,2.593255
-261.0,262,2.644805
-340.0,341,3.033113
-338.0,339,3.101135
-313.0,314,3.164744
-299.0,300,3.224553
-264.0,265,3.275889
-500.0,500,3.37287
-328.0,329,3.751732
-337.0,338,3.819897
-270.0,271,3.874923
-288.0,289,3.932849
-350.0,351,4.001139
-168.0,169,4.033875
-354.0,355,4.102733
-297.0,298,4.476414
-254.0,255,4.529196
-174.0,175,4.56528
-254.0,255,4.616164
-242.0,243,4.664007
-158.0,159,4.694976
-233.0,234,4.740676
-213.0,214,4.783036
-293.0,294,4.839779
-158.0,159,5.188454
-199.0,200,5.228724
-172.0,173,5.263471
-155.0,156,5.29512
-182.0,183,5.332288
-194.0,195,5.372071
-148.0,149,5.401179
-168.0,169,5.434033
-337.0,338,5.499762
-500.0,500,5.911764
-114.0,115,5.935055
-365.0,366,6.008706
-178.0,179,6.044415
-152.0,153,6.074875
-210.0,211,6.115915
-200.0,201,6.15493
-188.0,189,6.191716
-129.0,130,6.217215
-170.0,171,6.25058
-129.0,130,6.275671
-238.0,239,6.638139
-146.0,147,6.66764
-139.0,140,6.695748
-163.0,164,6.728531
-406.0,407,6.810383
-167.0,168,6.842911
-125.0,126,6.867281
-147.0,148,6.895746
-186.0,187,6.932429
-202.0,203,6.97144
-150.0,151,7.000736
-180.0,181,7.349742
-110.0,111,7.37194
-154.0,155,7.402802
-146.0,147,7.432049
-158.0,159,7.463881
-112.0,113,7.486458
-149.0,150,7.516753
-135.0,136,7.54361
-142.0,143,7.571857
-147.0,148,7.600595
-98.0,99,7.619505
-129.0,130,7.644613
-128.0,129,7.669746
-136.0,137,7.696281
-133.0,134,7.722378
-156.0,157,8.067787
-127.0,128,8.093278
-103.0,104,8.113911
-120.0,121,8.137758
-188.0,189,8.175365
-212.0,213,8.217411
-133.0,134,8.243789
-162.0,163,8.275902
-150.0,151,8.305569
-125.0,126,8.330083
-226.0,227,8.374294
-115.0,116,8.396642
-128.0,129,8.421857
-127.0,128,8.75978
-157.0,158,8.791594
-120.0,121,8.815943
-120.0,121,8.840141
-96.0,97,8.859573
-144.0,145,8.8889
-111.0,112,8.911377
-121.0,122,8.935578
-120.0,121,8.959396
-102.0,103,8.979367
-107.0,108,9.000964
-210.0,211,9.041685
-114.0,115,9.064163
-103.0,104,9.084427
-102.0,103,9.104193
-131.0,132,9.129816
-123.0,124,9.15382
-211.0,212,9.510622
-121.0,122,9.534805
-107.0,108,9.556236
-125.0,126,9.58117
-150.0,151,9.611119
-121.0,122,9.635157
-95.0,96,9.654192
-105.0,106,9.675054
-106.0,107,9.696001
-97.0,98,9.714846
-97.0,98,9.733951
-110.0,111,9.755374
-112.0,113,9.777273
-131.0,132,9.802862
-146.0,147,9.831645
-229.0,230,10.1896
-116.0,117,10.213448
-123.0,124,10.238436
-125.0,126,10.263716
-231.0,232,10.310263
-94.0,95,10.329334
-145.0,146,10.3586
-89.0,90,10.376629
-101.0,102,10.396653
-141.0,142,10.424216
-101.0,102,10.444249
-124.0,125,10.468399
-84.0,85,10.484739
-89.0,90,10.50234
-201.0,202,10.541364
-118.0,119,10.564194
-108.0,109,10.585145
-95.0,96,10.952217
-138.0,139,10.980144
-96.0,97,10.99956
-90.0,91,11.017778
-102.0,103,11.038359
-97.0,98,11.057919
-134.0,135,11.084847
-91.0,92,11.103217
-93.0,94,11.121989
-106.0,107,11.143121
-87.0,88,11.16042
-120.0,121,11.183634
-115.0,116,11.205787
-98.0,99,11.22463
-119.0,120,11.247796
-182.0,183,11.282912
-179.0,180,11.317378
-102.0,103,11.337272
-132.0,133,11.678028
-101.0,102,11.69836
-93.0,94,11.717097
-97.0,98,11.736451
-84.0,85,11.753277
-92.0,93,11.771661
-115.0,116,11.794546
-104.0,105,11.815225
-98.0,99,11.834762
-92.0,93,11.853331
-111.0,112,11.875205
-165.0,166,11.907909
-136.0,137,11.934477
-75.0,76,11.949245
-84.0,85,11.965693
-108.0,109,11.98659
-116.0,117,12.008985
-101.0,102,12.028527
-123.0,124,12.052666
-178.0,179,12.401968
-101.0,102,12.422644
-112.0,113,12.445431
-132.0,133,12.472152
-135.0,136,12.499482
-105.0,106,12.520785
-93.0,94,12.539582
-100.0,101,12.559863
-102.0,103,12.580095
-104.0,105,12.600962
-96.0,97,12.619775
-98.0,99,12.638911
-99.0,100,12.658249
-84.0,85,12.67485
-96.0,97,12.693435
-120.0,121,12.717233
-103.0,104,12.737438
-129.0,130,12.762722
-128.0,129,13.115542
-97.0,98,13.135451
-64.0,65,13.148619
-84.0,85,13.16574
-94.0,95,13.184804
-113.0,114,13.207691
-99.0,100,13.227753
-67.0,68,13.241422
-103.0,104,13.262316
-100.0,101,13.282851
-83.0,84,13.30016
-77.0,78,13.316391
-111.0,112,13.338811
-98.0,99,13.358621
-87.0,88,13.375998
-96.0,97,13.395367
-92.0,93,13.414334
-89.0,90,13.432084
-141.0,142,13.460392
-90.0,91,13.477907
-103.0,104,13.498723
-91.0,92,13.846772
-110.0,111,13.870518
-106.0,107,13.892692
-92.0,93,13.91199
-102.0,103,13.933368
-80.0,81,13.950312
-92.0,93,13.969252
-110.0,111,13.991978
-106.0,107,14.013991
-77.0,78,14.030294
-134.0,135,14.058216
-76.0,77,14.073332
-90.0,91,14.09101
-100.0,101,14.11069
-92.0,93,14.128804
-90.0,91,14.146847
-93.0,94,14.165028
-195.0,196,14.205119
-159.0,160,14.237343
-92.0,93,14.2559
-63.0,64,14.595353
-102.0,103,14.61626
-91.0,92,14.635602
-84.0,85,14.652951
-100.0,101,14.673913
-115.0,116,14.697656
-86.0,87,14.716404
-100.0,101,14.737519
-89.0,90,14.75611
-113.0,114,14.779543
-90.0,91,14.798229
-109.0,110,14.820503
-97.0,98,14.839989
-81.0,82,14.856143
-104.0,105,14.877462
-91.0,92,14.895997
-107.0,108,14.917336
-106.0,107,14.93857
-223.0,224,14.983006
-79.0,80,14.999046
-87.0,88,15.344097
-73.0,74,15.359129
-75.0,76,15.374503
-80.0,81,15.390804
-99.0,100,15.410797
-92.0,93,15.429379
-92.0,93,15.447978
-79.0,80,15.463971
-84.0,85,15.480981
-215.0,216,15.523976
-95.0,96,15.543111
-204.0,205,15.583381
-85.0,86,15.599927
-121.0,122,15.623746
-98.0,99,15.642815
-94.0,95,15.661191
-101.0,102,15.681009
-63.0,64,15.693736
-78.0,79,15.708898
-82.0,83,15.724966
-97.0,98,16.057409
-95.0,96,16.07675
-73.0,74,16.091598
-97.0,98,16.111135
-90.0,91,16.129229
-64.0,65,16.14216
-101.0,102,16.162418
-71.0,72,16.176733
-94.0,95,16.196187
-101.0,102,16.21678
-97.0,98,16.236519
-127.0,128,16.262039
-86.0,87,16.278868
-74.0,75,16.293538
-134.0,135,16.319686
-83.0,84,16.335928
-88.0,89,16.353129
-95.0,96,16.371793
-72.0,73,16.38595
-104.0,105,16.40663
-78.0,79,16.422415
-93.0,94,16.441258
-246.0,247,16.823868
-104.0,105,16.845399
-80.0,81,16.861784
-91.0,92,16.880699
-83.0,84,16.897943
-90.0,91,16.916239
-119.0,120,16.940367
-77.0,78,16.956038
-71.0,72,16.970502
-103.0,104,16.991141
-69.0,70,17.005037
-92.0,93,17.023415
-96.0,97,17.042534
-88.0,89,17.059839
-94.0,95,17.078295
-103.0,104,17.098605
-108.0,109,17.119906
-72.0,73,17.134037
-89.0,90,17.151538
-63.0,64,17.163964
-90.0,91,17.181564
-111.0,112,17.518975
-171.0,172,17.553654
-77.0,78,17.569321
-80.0,81,17.585547
-64.0,65,17.598611
-86.0,87,17.615987
-119.0,120,17.639928
-78.0,79,17.655725
-71.0,72,17.670085
-88.0,89,17.687838
-75.0,76,17.703059
-271.0,272,17.756541
-75.0,76,17.771352
-84.0,85,17.787736
-94.0,95,17.80633
-84.0,85,17.822855
-72.0,73,17.837016
-79.0,80,17.852437
-72.0,73,17.86664
-86.0,87,17.883466
-99.0,100,17.903074
-88.0,89,18.234787
-79.0,80,18.251091
-72.0,73,18.265876
-95.0,96,18.285268
-76.0,77,18.300798
-84.0,85,18.317933
-92.0,93,18.336643
-89.0,90,18.355131
-92.0,93,18.373858
-73.0,74,18.389067
-77.0,78,18.404816
-92.0,93,18.42339
-228.0,229,18.468109
-103.0,104,18.488122
-71.0,72,18.502221
-70.0,71,18.515789
-73.0,74,18.530558
-84.0,85,18.547201
